1,Feature Importances
merch_lat,0.006772654072436697
merch_long,0.007286404227462601
category_grocery_net,0.007921813185584377
long,0.009115388590508075
lat,0.009207497839240802
zip,0.009259143854500065
city_pop,0.013004080100495292
gender_F,0.014128056062200576
category_travel,0.014791762168923901
gender_M,0.015829637840905998
category_health_fitness,0.016173563484340972
category_entertainment,0.016226397200817397
category_food_dining,0.01777235527447927
category_shopping_pos,0.019515339136585885
category_misc_pos,0.01981292684379937
category_home,0.027791200532104307
category_personal_care,0.02951587595024985
unix_time,0.03069937182853249
category_kids_pets,0.033607268089730406
category_misc_net,0.03514466398229638
category_gas_transport,0.05489829204980983
category_shopping_net,0.07779881290446211
category_grocery_pos,0.09131835179909627
amt,0.422409142981437
